type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,09013530200,10/2020,1,10,14,NA
Census Tract,09013530200,11/2020,1,9,6.333,NA
Census Tract,09013530200,12/2020,5,5,8,NA
Census Tract,09013530200,01/2021,1,7.5,6.667,NA
Census Tract,09013530200,02/2021,3,6.5,6.667,NA
Census Tract,09013530200,03/2021,4,3,6.333,NA
Census Tract,09013530200,04/2021,0,7.5,8,NA
Census Tract,09013530200,05/2021,1,9,5.333,NA
Census Tract,09013530200,06/2021,1,5,4.333,NA
Census Tract,09013530200,07/2021,0,9.5,7.333,NA
Census Tract,09013530200,08/2021,2,5,6.667,NA
Census Tract,09013530200,09/2021,1,11,7.667,NA
Census Tract,09013530200,10/2021,2,10,14,NA
Census Tract,09013530200,11/2021,2,9,6.333,NA
Census Tract,09013530200,12/2021,0,5,8,NA
Census Tract,09013530200,01/2022,2,7.5,6.667,NA
Census Tract,09013530200,02/2022,2,6.5,6.667,NA
Census Tract,09013530200,03/2022,8,3,6.333,NA
Census Tract,09013530200,04/2022,6,7.5,8,NA
Census Tract,09013530200,05/2022,10,9,5.333,NA
Census Tract,09013530200,06/2022,5,5,4.333,NA
Census Tract,09013530200,07/2022,6,9.5,7.333,NA
Census Tract,09013530200,08/2022,5,5,6.667,NA
Census Tract,09013530200,09/2022,6,11,7.667,NA
Census Tract,09013530200,10/2022,6,10,14,NA
Census Tract,09013530200,11/2022,8,9,6.333,NA
Census Tract,09013530200,12/2022,3,5,8,NA
Census Tract,09013530200,01/2023,6,7.5,6.667,NA
Census Tract,09013530200,02/2023,4,6.5,6.667,NA
Census Tract,09013530200,03/2023,0,3,6.333,NA
Census Tract,09013530200,04/2023,3,7.5,8,NA
Census Tract,09013530200,05/2023,5,9,5.333,NA
Census Tract,09013530200,06/2023,5,5,4.333,NA
Census Tract,09013530200,07/2023,6,9.5,7.333,NA
Census Tract,09013530200,08/2023,4,5,6.667,NA
Census Tract,09013530200,09/2023,7,11,7.667,NA
Census Tract,09013530200,10/2023,6,10,14,NA
Census Tract,09013530200,11/2023,4,9,6.333,NA
Census Tract,09013530200,12/2023,4,5,8,NA
Census Tract,09013530200,01/2024,5,7.5,6.667,NA
Census Tract,09013530200,02/2024,5,6.5,6.667,NA
Census Tract,09013530200,03/2024,4,3,6.333,NA
Census Tract,09013530200,04/2024,10,7.5,8,NA
Census Tract,09013530200,05/2024,9,9,5.333,NA
Census Tract,09013530200,06/2024,3,5,4.333,NA
Census Tract,09013530200,07/2024,8,9.5,7.333,NA
Census Tract,09013530200,08/2024,5,5,6.667,NA
Census Tract,09013530200,09/2024,9,11,7.667,NA
Census Tract,09013530200,10/2024,7,10,14,NA
Census Tract,09013530200,11/2024,6,9,6.333,NA
Census Tract,09013530200,12/2024,5,5,8,NA
Census Tract,09013530200,01/2025,9,7.5,6.667,NA
Census Tract,09013530200,02/2025,9,6.5,6.667,NA
Census Tract,09013530200,03/2025,4,3,6.333,NA
Census Tract,09013530200,04/2025,7,7.5,8,NA
Census Tract,09013530200,05/2025,3,9,5.333,NA
Census Tract,09013530200,06/2025,0,5,4.333,NA
Census Tract,09013530200,07/2025,5,9.5,7.333,NA
Census Tract,09013530200,08/2025,5,5,6.667,NA
Census Tract,09013530200,09/2025,3,11,7.667,NA
Census Tract,09013530200,10/2025,9,10,14,NA
Census Tract,09013530200,11/2025,7,9,6.333,NA
Census Tract,09013530200,12/2025,6,5,8,NA
Census Tract,09013530200,01/2026,2,7.5,,NA
Census Tract,09013530200,02/2026,4,6.5,,NA
Census Tract,09013530200,03/2026,4,3,,NA
Census Tract,09013530200,04/2026,3,7.5,,NA
Census Tract,09013530200,05/2026,5,9,,NA
Census Tract,09013530200,06/2026,0,2,,13/06/2026
Census Tract,09013530301,01/2020,2,7.5,5,NA
Census Tract,09013530301,02/2020,4,3.5,3.667,NA
